iter	Passed	Remaining
0	12	5076
1	23	4723
2	34	4589
3	47	4676
4	58	4622
5	68	4528
6	82	4611
7	94	4607
8	105	4586
9	117	4564
10	128	4540
11	139	4517
12	150	4484
13	161	4443
14	172	4425
15	183	4405
16	193	4364
17	204	4332
18	214	4302
19	225	4289
20	235	4254
21	245	4225
22	255	4195
23	266	4178
24	277	4160
25	287	4142
26	298	4129
27	309	4110
28	320	4103
29	330	4081
30	341	4061
31	353	4061
32	364	4050
33	375	4045
34	389	4057
35	415	4199
36	427	4192
37	440	4196
38	452	4189
39	465	4187
40	479	4196
41	492	4195
42	503	4184
43	529	4286
44	541	4274
45	555	4274
46	568	4271
47	581	4265
48	594	4255
49	606	4246
50	618	4234
51	645	4320
52	658	4309
53	670	4294
54	682	4279
55	696	4280
56	709	4268
57	722	4260
58	736	4255
59	750	4250
60	762	4238
61	775	4226
62	785	4204
63	796	4182
64	807	4163
65	818	4142
66	829	4122
67	839	4101
68	851	4086
69	863	4071
70	873	4048
71	883	4026
72	894	4007
73	904	3984
74	915	3968
75	925	3947
76	936	3929
77	948	3915
78	958	3896
79	969	3877
80	981	3863
81	992	3848
82	1002	3830
83	1013	3814
84	1024	3795
85	1034	3776
86	1044	3756
87	1055	3743
88	1066	3725
89	1075	3705
90	1087	3694
91	1105	3701
92	1117	3690
93	1130	3678
94	1141	3666
95	1152	3648
96	1163	3633
97	1173	3616
98	1184	3601
99	1194	3584
100	1205	3569
101	1215	3551
102	1226	3537
103	1238	3525
104	1248	3508
105	1259	3492
106	1269	3476
107	1280	3462
108	1290	3446
109	1301	3431
110	1312	3416
111	1322	3400
112	1333	3388
113	1344	3372
114	1355	3360
115	1366	3345
116	1377	3331
117	1387	3316
118	1398	3302
119	1409	3288
120	1419	3272
121	1430	3259
122	1441	3246
123	1452	3233
124	1462	3218
125	1473	3205
126	1484	3191
127	1496	3180
128	1507	3166
129	1517	3152
130	1528	3138
131	1539	3125
132	1550	3111
133	1561	3099
134	1572	3085
135	1583	3073
136	1594	3060
137	1604	3046
138	1616	3034
139	1627	3022
140	1637	3008
141	1649	2996
142	1659	2983
143	1671	2971
144	1683	2959
145	1694	2948
146	1706	2936
147	1717	2924
148	1728	2911
149	1739	2898
150	1749	2885
151	1759	2870
152	1769	2857
153	1780	2844
154	1790	2830
155	1801	2816
156	1812	2804
157	1822	2791
158	1833	2779
159	1845	2767
160	1855	2754
161	1865	2740
162	1876	2729
163	1886	2715
164	1897	2702
165	1909	2692
166	1921	2680
167	1932	2668
168	1942	2655
169	1954	2643
170	1964	2631
171	1975	2619
172	1985	2605
173	1996	2592
174	2007	2581
175	2018	2568
176	2028	2555
177	2040	2544
178	2051	2532
179	2061	2520
180	2071	2506
181	2083	2495
182	2094	2483
183	2103	2469
184	2115	2457
185	2126	2446
186	2136	2433
187	2146	2420
188	2157	2408
189	2169	2397
190	2178	2384
191	2190	2373
192	2201	2361
193	2211	2348
194	2223	2337
195	2233	2325
196	2244	2313
197	2255	2301
198	2266	2289
199	2276	2276
200	2287	2264
201	2298	2253
202	2310	2242
203	2320	2229
204	2330	2216
205	2342	2205
206	2352	2193
207	2364	2183
208	2375	2170
209	2386	2158
210	2396	2146
211	2407	2134
212	2418	2123
213	2430	2112
214	2441	2100
215	2451	2088
216	2461	2076
217	2473	2064
218	2483	2052
219	2495	2041
220	2506	2029
221	2517	2018
222	2529	2007
223	2539	1995
224	2550	1983
225	2561	1971
226	2572	1960
227	2583	1948
228	2593	1936
229	2603	1924
230	2613	1912
231	2624	1900
232	2634	1888
233	2646	1877
234	2655	1864
235	2667	1853
236	2677	1841
237	2689	1830
238	2699	1818
239	2710	1806
240	2721	1795
241	2732	1783
242	2742	1772
243	2753	1760
244	2764	1748
245	2774	1736
246	2785	1725
247	2795	1713
248	2806	1701
249	2817	1690
250	2828	1679
251	2840	1667
252	2850	1656
253	2862	1645
254	2873	1633
255	2883	1622
256	2895	1611
257	2905	1599
258	2916	1587
259	2928	1576
260	2938	1565
261	2950	1553
262	2961	1542
263	2971	1530
264	2982	1519
265	2992	1507
266	3003	1496
267	3013	1484
268	3024	1472
269	3034	1461
270	3045	1449
271	3055	1437
272	3065	1426
273	3076	1414
274	3088	1403
275	3099	1392
276	3110	1381
277	3122	1370
278	3132	1358
279	3143	1347
280	3153	1335
281	3163	1323
282	3173	1312
283	3184	1300
284	3195	1289
285	3205	1277
286	3217	1266
287	3228	1255
288	3238	1243
289	3249	1232
290	3259	1221
291	3270	1209
292	3280	1198
293	3291	1186
294	3302	1175
295	3313	1164
296	3324	1152
297	3336	1141
298	3347	1130
299	3357	1119
300	3369	1108
301	3380	1097
302	3391	1085
303	3402	1074
304	3412	1062
305	3423	1051
306	3433	1040
307	3444	1028
308	3454	1017
309	3466	1006
310	3476	994
311	3487	983
312	3498	972
313	3508	960
314	3519	949
315	3530	938
316	3541	927
317	3552	916
318	3563	904
319	3573	893
320	3585	882
321	3596	871
322	3608	860
323	3618	848
324	3629	837
325	3639	826
326	3650	814
327	3660	803
328	3671	792
329	3683	781
330	3693	769
331	3703	758
332	3713	747
333	3724	735
334	3735	724
335	3745	713
336	3756	702
337	3767	691
338	3777	679
339	3788	668
340	3798	657
341	3809	646
342	3821	635
343	3832	623
344	3843	612
345	3854	601
346	3866	590
347	3876	579
348	3912	571
349	3930	561
350	3941	550
351	3951	538
352	3962	527
353	3972	516
354	3982	504
355	3994	493
356	4004	482
357	4016	471
358	4027	459
359	4038	448
360	4048	437
361	4059	426
362	4070	414
363	4081	403
364	4091	392
365	4104	381
366	4116	370
367	4129	359
368	4140	347
369	4151	336
370	4162	325
371	4172	314
372	4183	302
373	4194	291
374	4205	280
375	4216	269
376	4226	257
377	4237	246
378	4248	235
379	4258	224
380	4269	212
381	4279	201
382	4290	190
383	4301	179
384	4312	168
385	4322	156
386	4334	145
387	4345	134
388	4355	123
389	4367	111
390	4378	100
391	4388	89
392	4399	78
393	4410	67
394	4420	55
395	4432	44
396	4443	33
397	4454	22
398	4465	11
399	4475	0
